Game ID,English Name,Spanish Name,English Description
"7349","Fields of Arle: New Travel Destination – Gersthofen","Fields of Arle: New Travel Destination – Gersthofen","Feuerland started a set of new travel destinations. You can get them in the towns printed on the travel destination."
"7350","Fields of Arle: New Travel Destination – Gießen","Fields of Arle: New Travel Destination – Gießen","Feuerland started a set of new travel destinations. You can get them in the towns printed on the travel destination."
"7351","Fields of Arle: New Travel Destination – Göttingen","Fields of Arle: New Travel Destination – Göttingen","Feuerland started a set of new travel destinations. You can get them in the towns printed on the travel destination"
"7352","Fields of Arle: New Travel Destination – Gütersloh","Fields of Arle: New Travel Destination – Gütersloh","Feuerland started a set of new travel destinations. You can get them in the towns printed on the travel destination."
"7353","Fields of Arle: New Travel Destination – Hamburg","Fields of Arle: New Travel Destination – Hamburg","Feuerland started a set of new travel destinations. You can get them in the towns printed on the travel destination."
"7354","Fields of Arle: New Travel Destination – Hannover","Fields of Arle: New Travel Destination – Hannover","The travel destination ""Hannover"" will be available in Hannover."
"7355","Fields of Arle: New Travel Destination – Heidelberg","Fields of Arle: New Travel Destination – Heidelberg","Feuerland started a set of new travel destinations. You can get them in the towns printed on the travel destination."
"7356","Fields of Arle: New Travel Destination – Husum","Fields of Arle: New Travel Destination – Husum","Feuerland started a set of new travel destinations. You can get them in the towns printed on the travel destination"
"7357","Fields of Arle: New Travel Destination – Kaiserslautern","Fields of Arle: New Travel Destination – Kaiserslautern","Feuerland started a set of new travel destinations. You can get them in the towns printed on the travel destination."
"7358","Fields of Arle: New Travel Destination – Kassel","Fields of Arle: New Travel Destination – Kassel","Feuerland started a set of new travel destinations. You can get them in the towns printed on the travel destination"
"7359","Fields of Arle: New Travel Destination – Kempten","Fields of Arle: New Travel Destination – Kempten","Feuerland started a set of new travel destinations. You can get them in the towns printed on the travel destination."
"7360","Fields of Arle: New Travel Destination – Koblenz","Fields of Arle: New Travel Destination – Koblenz","Feuerland started a set of new travel destinations. You can get them in the towns printed on the travel destination."
"7361","Fields of Arle: New Travel Destination – Konstanz","Fields of Arle: New Travel Destination – Konstanz","Feuerland started a set of new travel destinations. You can get them in the towns printed on the travel destination."
"7362","Fields of Arle: New Travel Destination – Krefeld","Fields of Arle: New Travel Destination – Krefeld","Feuerland started a set of new travel destinations. You can get them in the towns printed on the travel destination."
"7363","Fields of Arle: New Travel Destination – Köln","Fields of Arle: New Travel Destination – Köln","Feuerland started a set of new travel destinations. You can get them in the towns printed on the travel destination."
"7364","Fields of Arle: New Travel Destination – Leer","Fields of Arle: New Travel Destination – Leer","Feuerland started a set of new travel destinations. You can get them in the towns printed on the travel destination."
"7365","Fields of Arle: New Travel Destination – Leipzig","Fields of Arle: New Travel Destination – Leipzig","Feuerland started a set of new travel destinations. You can get them in the towns printed on the travel destination."
"7366","Fields of Arle: New Travel Destination – Lindau","Fields of Arle: New Travel Destination – Lindau","Feuerland started a set of new travel destinations. You can get them in the towns printed on the travel destination."
"7367","Fields of Arle: New Travel Destination – Marburg","Fields of Arle: New Travel Destination – Marburg","Feuerland started a set of new travel destinations. You can get them in the towns printed on the travel destination."
"7368","Fields of Arle: New Travel Destination – Moers","Fields of Arle: New Travel Destination – Moers","Feuerland started a set of new travel destinations. You can get them in the towns printed on the travel destination."
"7369","Fields of Arle: New Travel Destination – München","Fields of Arle: New Travel Destination – München","Feuerland started a set of new travel destinations. You can get them in the towns printed on the travel destination."
"7370","Fields of Arle: New Travel Destination – Münster","Fields of Arle: New Travel Destination – Münster","Promotional tile for Fields of Arle. Available in boardgame stores in M&uuml;nster, Germany"
"7371","Fields of Arle: New Travel Destination – Neumünster","Fields of Arle: New Travel Destination – Neumünster","Feuerland started a set of new travel destinations. You can get them in the towns printed on the travel destination"
"7372","Fields of Arle: New Travel Destination – Nürnberg","Fields of Arle: New Travel Destination – Nürnberg","Feuerland started a set of new travel destinations. You can get them in the towns printed on the travel destination."
"7373","Fields of Arle: New Travel Destination – Oldenburg","Fields of Arle: New Travel Destination – Oldenburg","Feuerland started a set of new travel destinations. You can get them in the towns printed on the travel destination."
"7374","Fields of Arle: New Travel Destination – Osnabrück","Fields of Arle: New Travel Destination – Osnabrück","Feuerland started a set of new travel destinations. You can get them in the towns printed on the travel destination."
"7375","Fields of Arle: New Travel Destination – Potsdam","Fields of Arle: New Travel Destination – Potsdam","Feuerland started a set of new travel destinations. You can get them in the towns printed on the travel destination."
"6621","Warfighter: Modern Expansion #16 – Germany","Warfighter: Modern Expansion #16 – Germany","The Germany expansion adds German national forces to the game. This expansion offers 56 cards including: 10 Player Soldiers 7 Non-Player Soldiers 9 Squad Soldiers 21 Weapons 4 Equipment 5 Skills —description from the publisher"
"7091","Trivial Pursuit: DVD – Pop Culture Game","Trivial Pursuit: DVD – Pop Culture Game","All-new multi-media version of America's favorite trivia game. Includes 2,400 card questions and a DVD with 600 DVD questions. Features 6 categories: Television, Movies, Music, Sports/Games, Buzz, and Fads."
"7376","Fields of Arle: New Travel Destination – Schwäbisch Hall","Fields of Arle: New Travel Destination – Schwäbisch Hall","Feuerland started a set of new travel destinations. You can get them in the towns printed on the travel destination."
"7377","Fields of Arle: New Travel Destination – Siegen","Fields of Arle: New Travel Destination – Siegen","Feuerland started a set of new travel destinations. You can get them in the towns printed on the travel destination."
